Date,Close,High,Low,Open,Volume
2023-12-11,3840.98779296875,3890.993283763971,3822.1177964422513,3822.1177964422513,575100
2023-12-12,3801.36083984375,3932.5073170684414,3774.9428444315818,3906.089321656273,795400
2023-12-13,3844.76171875,3860.8012154907974,3803.247727185583,3826.835222392638,580200
2023-12-14,3757.01611328125,3850.4225912357565,3741.920116844158,3844.761592571847,887100
2023-12-15,3887.21923828125,3887.21923828125,3807.9652538114383,3823.0612508533072,779200
2023-12-18,3867.405517578125,3876.8405151813895,3821.1740293221287,3824.948028363435,495200
2023-12-19,3914.580810546875,3914.580810546875,3812.682828493594,3830.609325336301,546400
2023-12-20,3941.9423828125,4015.535371290091,3918.35488650558,3932.507384289732,705500
2023-12-21,3898.54150390625,3922.1290009047148,3885.33250558711,3906.089502945759,437000
2023-12-22,3899.48486328125,3913.637360970391,3878.72786667051,3912.693861124448,340400
2023-12-25,3902.315185546875,3970.247171368774,3882.5016896821544,3965.5296723533647,329500
2023-12-26,3904.20263671875,3925.9031346995457,3877.784639176912,3899.485137157708,314500
2023-12-27,3909.863525390625,3916.46802458892,3870.2365302008548,3895.711027108564,385700
2023-12-28,3937.224609375,3939.111608948149,3889.106120259705,3915.5241142837885,319400
2023-12-29,3946.65966796875,3957.0381657807648,3918.3546739359836,3937.224669957828,344500
2024-01-04,4021.196044921875,4042.89653976777,3907.976071812859,3946.6595626251064,739900
2024-01-05,4044.78369140625,4055.162189331482,4007.0436989508617,4042.8966917834805,588000
2024-01-09,4104.224609375,4107.055109105603,4039.1231155711207,4044.7841150323275,547800
2024-01-10,4184.421875,4193.856873590755,4110.828885992108,4120.263884582863,565900
2024-01-11,4281.60205078125,4295.754547643683,4212.726566050745,4216.500565214061,734300
2024-01-12,4219.3310546875,4299.5285367197985,4145.738071175509,4282.545540524723,704300
2024-01-15,4193.8564453125,4224.048437719699,4193.8564453125,4212.726440566999,56700
2024-01-16,4195.74365234375,4294.811132329379,4193.856652724976,4212.726648912715,537400
2024-01-17,4191.9697265625,4233.4837189029795,4174.04322987002,4198.57422534394,499300
2024-01-18,4232.5400390625,4250.466534992546,4200.461046345576,4225.935540561957,481000
2024-01-19,4172.15625,4261.788733887381,4162.721251696065,4244.805736940299,578000
2024-01-22,4308.96337890625,4338.211871296461,4241.031396580599,4278.771386761517,796200
2024-01-23,4321.2294921875,4364.6304870872,4291.037495735534,4310.850993407137,522200
2024-01-24,4271.2236328125,4351.421116529987,4247.636137601475,4309.907124958582,530100
2024-01-25,4278.77099609375,4307.075986145087,4213.669518975675,4257.070503721058,455900
2024-01-26,4236.31396484375,4278.771454469133,4224.9919676103145,4278.771454469133,433700
2024-01-29,4320.28564453125,4325.003143597129,4257.071157048482,4257.071157048482,400400
2024-01-30,4302.359375,4349.534368146929,4286.319877330044,4320.285872395833,349300
2024-01-31,4383.50048828125,4395.7659868494065,4293.867998744719,4317.455495991175,698000
2024-02-01,4378.78271484375,4402.370210614294,4297.64172939308,4358.9692183964935,633700
2024-02-02,4426.9013671875,4464.641361792679,4377.839374200767,4393.8788719079685,504500
2024-02-05,4575.9736328125,4599.561125765142,4444.827171995812,4474.075663257087,698400
2024-02-06,4396.708984375,4513.702957349786,4396.708984375,4513.702957349786,592200
2024-02-07,4416.5224609375,4429.731457829857,4371.2344715922745,4396.708965598964,470200
2024-02-08,4444.82763671875,4477.850130305071,4384.4436484466205,4433.505638917726,537400
2024-02-09,4440.10986328125,4476.906353860929,4404.256872460024,4415.578869561464,436400
2024-02-13,4432.56201171875,4467.471503935351,4386.330522026494,4459.923505618249,854200
2024-02-14,4238.201171875,4414.635637400517,4151.399188835708,4408.031138691006,862300
2024-02-15,4530.68603515625,4567.4825273201595,4431.6185562534165,4436.336055248789,1651600
2024-02-16,4646.73681640625,4656.171815018242,4531.629833339943,4567.482828065514,812000
2024-02-19,4609.9404296875,4646.736925135271,4566.539435056795,4646.736925135271,545400
2024-02-20,4629.75341796875,4651.453912897073,4536.346939799011,4616.544421055858,630300
2024-02-21,4644.849609375,4674.098103766758,4559.9346256569925,4651.454108108623,686100
2024-02-22,4610.88330078125,4640.131793174174,4550.499316486182,4640.131793174174,652400
2024-02-26,4481.6240234375,4634.470990131579,4474.076025082237,4609.939995476974,697800
2024-02-27,4504.26806640625,4538.234059366163,4459.923575597474,4467.471574033011,660900
2024-02-28,4542.95166015625,4571.256654923579,4477.850172191394,4537.290661202785,802400
2024-02-29,4455.2060546875,4526.912039472813,4362.743074306438,4524.081540073393,7433200
2024-03-01,4314.625,4459.923983162038,4314.625,4389.161491362344,902100
2024-03-04,4347.64697265625,4447.657949023776,4322.172478675842,4328.776977115207,643800
2024-03-05,4291.98095703125,4335.3819515406885,4203.291968251092,4281.60245834421,760600
2024-03-06,4389.16162109375,4434.449617184141,4328.777626306562,4358.026123781606,614800
2024-03-07,4220.2744140625,4377.838873518891,4213.669915761932,4323.115887599904,537200
2024-03-08,4155.17333984375,4195.743833398083,4086.2978507863945,4132.529343441332,756700
2024-03-11,4136.3037109375,4185.365707508839,4080.6372148277114,4123.094711860601,454500
2024-03-12,4205.1787109375,4213.67020934415,4102.337230234743,4123.0942263398865,429000
2024-03-13,4292.92333984375,4328.776325978709,4245.748358087225,4245.748358087225,618200
2024-03-14,4320.28564453125,4326.89014322348,4256.127657235306,4278.771652751522,371600
2024-03-15,4434.44921875,4434.44921875,4355.195232712766,4373.121729554521,541300
2024-03-18,4433.505859375,4465.584854739705,4407.0878631923015,4411.80536251064,654400
2024-03-19,4431.61865234375,4454.262648012528,4341.042669668638,4433.505651982815,670800
2024-03-21,4539.177734375,4582.578727054536,4477.850244719133,4509.929239308356,477100
2024-03-22,4491.0595703125,4558.048063903296,4475.020071847098,4541.065065528164,537800
2024-03-25,4487.28515625,4558.991142767031,4468.41515979815,4474.076158733705,401500
2024-03-26,4574.08740234375,4635.414894330619,4492.002913069016,4492.002913069016,524400
2024-03-27,4672.21142578125,4695.798922882326,4577.861437376943,4577.861437376943,496500
2024-03-28,4685.64501953125,4724.028349611375,4667.412937743191,4700.038768311297,324500
2024-03-29,4733.6240234375,4763.3711032523315,4663.5744483896715,4693.321528204503,279400
2024-04-01,4748.9775390625,4778.724620030562,4673.170461756794,4765.290454432082,392900
2024-04-02,4775.845703125,4828.622780414908,4755.694455432489,4778.724452795359,336900
2024-04-03,4732.66455078125,4763.371214533277,4698.119554060218,4748.977465899515,446200
2024-04-04,4724.0283203125,4804.633312980843,4684.6854072243805,4775.845815599291,382200
2024-04-05,4727.8671875,4741.301354462655,4655.89843591435,4656.858019268825,175000
2024-04-08,4817.10791015625,4834.380408638882,4730.74541774309,4769.128747704494,285500
2024-04-09,4801.75439453125,4838.218556600033,4775.845647798168,4826.703558051996,284000
2024-04-10,4778.724609375,4849.733770237199,4766.25002706137,4799.835440982681,218400
2024-04-11,4685.64501953125,4737.462515139418,4641.504189939106,4670.2916874992,332800
2024-04-12,4720.18994140625,4756.65410440146,4574.333289425411,4618.474118314349,354200
2024-04-15,4631.90869140625,4652.059941151336,4564.737858922629,4599.282858485634,327300
2024-04-16,4518.677734375,4595.44439794476,4513.87981790189,4564.737732516856,368500
2024-04-17,4366.10400390625,4551.30358033568,4366.10400390625,4518.677748218578,410600
2024-04-18,4394.8916015625,4443.830350837541,4376.659518499249,4381.4574350948415,320000
2024-04-19,4293.17578125,4408.325779853039,4256.711615025704,4395.851196671044,569500
2024-04-22,4406.40673828125,4424.6388219108985,4326.761320320156,4342.114653903018,364400
2024-04-23,4416.001953125,4472.617362780449,4405.44653776551,4426.55736848449,258800
2024-04-24,4447.66845703125,4467.819705703883,4415.042625846986,4423.678875278115,273400
2024-04-25,4463.9814453125,4487.9710274562685,4439.03227988298,4447.668529454737,290100
2024-04-26,4534.03125,4545.54625,4423.679166666667,4449.587916666666,295600
2024-04-30,4623.27197265625,4665.493634506992,4587.767393372672,4650.140302924904,349300
2024-05-01,4579.1318359375,4606.959753632846,4540.7485011853,4558.021001823789,201800
2024-05-02,4630.94873046875,4639.584979655285,4588.727067779022,4625.191231011059,268800
2024-05-07,4676.04931640625,4678.92806624192,4641.504318378213,4667.413066899241,215200
2024-05-08,4652.0595703125,4688.523733611154,4618.4741567479505,4645.342487599591,259600
2024-05-09,4662.61474609375,4721.149321008696,4649.180581359173,4690.442658758232,235700
2024-05-10,4691.40234375,4755.694419231949,4668.372346562436,4673.170262643179,246500
2024-05-13,4699.0791015625,4709.6345171469775,4634.787024820681,4681.806603333354,197800
2024-05-14,4700.0390625,4731.705311798183,4663.574896641487,4683.726146194876,205800
2024-05-15,4528.2734375,4700.03884231299,4519.637188095995,4700.03884231299,409500
2024-05-16,4413.123046875,4448.627624551533,4308.528480206294,4317.164728830317,660300
2024-05-17,4434.234375,4521.5564542306865,4372.821044552045,4462.062290359229,290400
2024-05-20,4434.234375,4478.375206259468,4423.678958829258,4434.234375,228500
2024-05-21,4389.1337890625,4478.375031384934,4389.1337890625,4417.921286585865,304100
2024-05-22,4335.39697265625,4390.093216003175,4318.124474757221,4373.780301320759,334900
2024-05-23,4320.0439453125,4394.891441477399,4311.407695755011,4347.871860553296,270000
2024-05-24,4308.529296875,4308.529296875,4249.035128410356,4281.6609627296775,333100
2024-05-27,4318.125,4340.1954166666665,4283.58,4298.933333333333,298100
2024-05-28,4321.00341796875,4358.427165093063,4297.013836478805,4329.6396673051295,247700
2024-05-29,4176.1064453125,4350.750602722168,4174.187278747559,4329.6397705078125,301600
