Rank,Industry,Relative Strength,Diff,RS Momentum,RM_1W,RM_1M,RM_3M,RM_6M,Percentile,1 Week Ago,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
93,Shell Companies,5.1040909090909095,2.1190909090909096,0.6672307692307692,0.6298484848484849,0.4707692307692308,0.30625,0.21393939393939396,35,16,13,13,69,"CCCX,HOND,TVA,VCIC,CEPT,BACQ,AEXA,GIG,SVACU,AACI,CEPF,BEAG,MLAC,HYAC,GRAF,ANSC,POLE,CHAC,GPAT,LPAA,ALDF,CUB,HCMAU,CCIX,SIMA,AAM,LPBB,DRDB,ALF,VACH,EQV,KFII,KOYNU,DMAA,MBVIU,FERA,ATII,TACH,HCMA,TACO,GTEN,CAEP,CCII,MBAV,SDHI,CRAQ,PMTR,CGCT,OYSE,KCHV,SVAC,VNME,BCAR,EVAC,KOYN,PACH,BLUW,TLNC,DMIIU,NPAC,WENN,BRR,IPCX,RDAG,PCAP,RTAC"
94,Recreational Vehicles,4.695555555555554,-8.601111111111113,0.35111111111111115,0.48000000000000004,0.47000000000000003,0.62,0.34777777777777774,35,51,44,17,1,"DOOO,PII,THO,MCFT,HOG,BC,LCII,MBUU,WGO"
95,Apparel Retail,4.516470588235294,-5.596470588235294,0.3623529411764706,0.44,0.5394117647058824,0.6429411764705882,0.4211764705882353,34,40,54,7,7,"GES,VSCO,URBN,BKE,ZUMZ,LE,AEO,TJX,BOOT,ROST,BURL,GAP,SCVL,ANF,CRI,CAL,LULU"
96,Oil & Gas Integrated,4.3876470588235295,-2.3847058823529412,0.39,0.45588235294117646,0.46941176470588236,0.5205882352941176,0.3170588235294117,33,28,24,46,49,"CVE,IMO,NFG,E,BP,SHEL,EC,SU,CVX,DEC,XOM,PBR-A,PBR,TTE,EQNR,TGS,YPF"
97,Asset Management,4.0204819277108435,-4.709397590361446,0.3006024096385542,0.4395180722891567,0.5157831325301205,0.7379518072289156,0.3703614457831325,32,33,47,54,52,"SII,AAMI,PSLV,IVZ,CEF,SPPP,PHYS,BBUC,FHI,WT,AMG,NTRS,STT,PAX,VINP,CG,BLK,BN,STEP,BEN,JHG,HASI,NMAI,VCTR,RJF,TRIN,BAM,NOAH,DBRG,AB,APAM,GAIN,BX,TROW,CRBG,PFG,TPG,FDUS,SEIC,EQH,MAIN,TSLX,RWAY,SPMC,VRTS,GCMG,BBDC,CION,MFIC,SAR,AMP,GBDC,SLRC,DHIL,CSWC,HTGC,PX,SCM,KKR,ARCC,KBDC,OCSL,PSBD,NMFC,BCSF,GSBD,CCAP,OBDC,MSDL,ARES,BXSL,NCDL,OTF,MSIF,PFLT,BUR,CNS,APO,CGBD,OWL,HLNE,HSDT,FSK"
98,Apparel Manufacturing,3.976363636363636,-10.007272727272726,0.4027272727272727,0.5572727272727273,0.5681818181818182,0.6818181818181818,0.39272727272727276,32,52,48,24,10,"RL,GIL,GOOS,LEVI,ZGN,KTB,PVH,GIII,VFC,COLM,OXM"
99,Oil & Gas Midstream,3.801904761904762,-7.617857142857142,0.38119047619047625,0.4830952380952381,0.5714285714285714,0.5257142857142857,0.3895238095238095,31,44,39,32,46,"PBT,CLCO,FRO,TK,STNG,AM,DTM,WMB,INSW,TRP,ENB,SOBO,TEN,GEL,TNK,SBR,FLNG,DHT,TRMD,PBA,KMI,EPD,LNG,EE,MPLX,LPG,WES,GLNG,CQP,ET,NVGS,GLP,PAGP,PAA,VNOM,TRGP,HESM,CMBT,KNTK,OKE,SMC,VG"
100,Medical Devices,3.752727272727273,-2.6678181818181814,0.4167272727272728,0.5247272727272727,0.44763636363636367,0.5134545454545455,0.3696363636363636,30,27,13,9,29,"CLPT,PMI,IRTC,ZIMV,ATEC,AORT,BBNX,IRMD,SNN,VREX,PODD,LIVN,TCMD,AXGN,NPCE,MDT,TMDX,PEN,PHG,OFIX,ABT,BIO,STE,INMD,EW,SIBN,DCTH,BSX,SYK,ESTA,ZBH,GEHC,AHCO,MASI,IART,SRDX,DXCM,ENOV,GMED,ITGR,QDEL,UFPT,CNMD,AVNS,NVCR,GKOS,BRKR,SMLR,KIDS,TNDM,HAE,CBLL,RXST,PRCT,INSP"
101,Chemicals,3.7115384615384617,-5.018461538461539,0.4076923076923077,0.49923076923076926,0.5315384615384615,0.6369230769230769,0.3584615384615385,30,34,27,22,4,"ASPI,RYAM,REX,GPRE,LXU,MEOH,WLKP,OLN,ASIX,VHI,CE,DOW,HUN"
102,Advertising Agencies,3.3681818181818173,-8.282727272727273,0.4227272727272728,0.5309090909090909,0.45454545454545453,0.54,0.36363636363636365,29,46,37,45,34,"APP,IAS,MGNI,IPG,OMC,ZD,NEXN,QNST,CRTO,WPP,TTD"
